,Id do vídeo,Título do vídeo,Descrição do vídeo,Quantidade de Likes,Quantidade de Views,Quantidade de comentários,Url da Thumbnail,Hora de publicação do vídeo (ISO 8601),Data de publicação do vídeo
0,JGwWNGJdvx8,Ed Sheeran - Shape of You (Official Music Video),"The official music video for Ed Sheeran - Shape Of You
Subtract, the new album, out 05.05.2023. Pre-order: es.lnk.to/subtract

Taken from the studio album ÷ (divide) released in 2017, which featured the hit singles 'Castle on the Hill', 'Shape of You', 'Galway Girl', ‘Perfect’ & 'Happier'. 
 
Subscribe to the Ed Sheeran channel for all the best and latest official music videos, behind the scenes and live performances.  
http://bit.ly/SubscribeToEdSheeran 
 
See more official videos from Ed Sheeran here: 
https://www.youtube.com/watch?v=ryJgDL9jzKk&list=PLjp0AEEJ0-fGKG_3skl0e1FQlJfnx-TJz 

Listen to more from the album ÷ (divide): https://www.youtube.com/playlist?list=PLjp0AEEJ0-fGi7bkjrGhBLUF9NMraL9cL 
 
Follow Ed Sheeran on:
Instagram: http://instagram.com/teddysphotos
TikTok: https://www.tiktok.com/@edsheeran
Facebook: http://www.facebook.com/EdSheeranMusic
Twitter: http://twitter.com/edsheeran
Discord: http://discord.gg/edsheeran
Official Website: http://edsheeran.com  
  
VIDEO CREDITS: 
Director|DOP: Jason Koenig
Producer: Honna Kimmerer
Production company: Anonymous Content
Exec Producer: Nina Soriano

Cinematography: Johnny Valencia, Ryan Haug 
Edited by: Johnny Valencia, Jason Koenig
Commissioner: Dan Curwin

Co-Starring: 
Jennie Pegouskie
Yama

-- | LYRICS |--

The club isn’t the best place to find a lover
So the bar is where I go 
Me and my friends at the table doing shots drinking fast and then we talk slow
you come over and start up a conversation with just me and trust me I’ll give it a chance now
Take my hand stop, put van the man on the jukebox and then we start to dance
And now I’m singing like

Girl you know I want your love
Your love was handmade for somebody like me
Come on now follow my lead
I may be crazy don’t mind me 
Say boy let’s not talk too much 
Grab on my waist and put that body on me
Come on now follow my lead
Come come on now follow my lead

I’m in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I’m in love with your body
Last night you were in my room 
And now my bed sheets smell like you 
Every day discovering something brand new
I’m in love with your body

Oh I X 4
I’m in love with your body
Oh I X 4
I’m in love with your body
Oh I X 4
I’m in love with your body
Every day discovering something brand new
I’m in love with the shape of you 

One week in we let the story begin
We’re going out on our first date
You and me are thrifty
So go all you can eat 
Fill up your bag and I fill up a plate
We talk for hours and hours about the sweet and the sour
And how your family’s doing ok
leave and get in a taxi, then kiss in the backseat
Tell the driver make the radio play
and I'm singing like

Girl you know I want your love
Your love was handmade for somebody like me
Come on now follow my lead 
I may be crazy, don’t mind me
Say boy let’s not talk too much 
Grab on my waist and put that body on me
Come on now follow my lead
Come come on now follow my lead

I’m in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I’m in love with your body
Last night you were in my room 
And now my bed sheets smell like you 
Every day discovering something brand new

Well I’m in love with your body
Oh I x 4 
I’m in love with your body
Oh I x 4
I’m in love with your body
Oh I X 4
I’m in love with your body
Every day discovering something brand new
I’m in love with the shape of you 

Come on be my baby come on X 8

I’m in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I’m in love with your body
Last night you were in my room 
And now my bed sheets smell like you 
Every day discovering something brand new

Well I’m in love with your body
Come on be my baby come on X 6
Every day discovering something brand new
I’m in love with the shape of you 
 
About Ed Sheeran: 
Ed Sheeran may be the quintessential pop star of the 2010s: an internationally acclaimed, multi-award winning singer/songwriter who seems to acknowledge no boundaries between styles or eras with elements of folk, hip-hop, pop, dance, soul, and rock woven throughout his music. 

His incredible catalogue includes the studio albums ‘+’ (plus), ‘x’ (multiply) and ‘÷’ (divide) which spawned hit singles such as ‘The A team’ , ’Lego House’, ‘Sing', ‘Thinking Out Loud’, ‘Photograph’, ‘Shape Of You’, ‘Castle on The Hill’ and ‘Perfect’. 
 
In 2019, Ed Sheeran released the genre-spanning ‘No.6 Collaborations Project’ which featured a wide-range of artists including ‘Justin Bieber’, ‘Camilla’ Cabello’, ‘Travis Scott’, ‘Eminem’, ‘Cardi B, ‘Paulo Londra’, ‘Bruno Mars’ and ‘Stormzy’ amongst many others, producing hits such as ‘I Don’t Care’, ‘Beautiful People’, ‘South of The Border’ and ‘Take Me Back To London’. 
 
#EdSheeran #ShapeOfYou #divide",32638002,6205519820,1151956,https://i.ytimg.com/vi/JGwWNGJdvx8/default.jpg,10:57:50,30/01/2017
1,OPf0YbXqDm0,Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars,"Official Video for Uptown Funk by Mark Ronson ft. Bruno Mars
Listen to Mark Ronson: https://MarkRonson.lnk.to/listenYD

Subscribe to the official Mark Ronson: https://MarkRonson.lnk.to/subscribeYD

Watch more Mark Ronson videos: https://MarkRonson.lnk.to/listenYD/youtube

Follow Mark Ronson:
Facebook: https://MarkRonson.lnk.to/followFI
Instagram: https://MarkRonson.lnk.to/followII
Twitter: https://MarkRonson.lnk.to/followTI
Website: https://MarkRonson.lnk.to/followWI
Spotify: https://MarkRonson.lnk.to/followSI
YouTube: https://MarkRonson.lnk.to/subscribeYD

#MarkRonson #UptownFunk #BrunoMars #UptownSpecial #NewYearMusic #HappyNewYearMusic #NewYearPlaylist #HappyNewYear

Lyrics:
Doh
Doh doh doh, doh doh doh, doh doh
Doh doh doh, doh doh doh, doh doh
Doh doh doh, doh doh doh, doh doh
Doh doh doh, doh duh (Aaaaaaow!)

This hit
That ice cold
Michelle Pfeiffer
That white gold
This one for them hood girls
Them good girls
Straight masterpieces
Stylin', wiling
Livin' it up in the city
Got Chucks on with Saint Laurent
Gotta kiss myself I'm so pretty

I'm too hot (hot damn)
Call the police and the fireman
I'm too hot (hot damn)
Make a dragon wanna retire, man
I'm too hot (hot damn)
Say my name you know who I am
I'm too hot (hot damn)
And my band 'bout that money
Break it down...

Girls hit your hallelujah (ooh)
Girls hit your hallelujah (ooh)
Girls hit your hallelujah (ooh)
'Cause uptown funk gon' give it to you
'Cause uptown funk gon' give it to you
'Cause uptown funk gon' give it to you
Saturday night and we in the spot
Don't believe me just watch (Come on)

Doh
Doh doh doh, doh doh doh, doh doh (Hah!)

Don't believe me just watch

Don't believe me just watch
Don't believe me just watch
Don't believe me just watch
Don't believe me just watch
Hey, hey, hey, oh!

Stop
Wait a minute
Fill my cup put some liquor in it
Take a sip, sign the check
Julio, get the stretch!
Ride to Harlem, Hollywood, Jackson, Mississippi
If we show up, we gon' show out
Smoother than a fresh jar of Skippy

I'm too hot (hot damn)
Call the police and the fireman
I'm too hot (hot damn)
Make a dragon wanna retire, man
I'm too hot (hot damn, hot damn)
Bitch, say my name you know who I am
I'm too hot (hot damn)
And my band 'bout that money
Break it down...

Girls hit your hallelujah (ooh)
Girls hit your hallelujah (ooh)
Girls hit your hallelujah (ooh)
'Cause uptown funk gon' give it to you
'Cause uptown funk gon' give it to you
'Cause uptown funk gon' give it to you
Saturday night and we in the spot
Don't believe me just watch (come on)

Doh
Doh doh doh, doh doh doh, doh doh (Hah!)

Don't believe me just watch

Don't believe me just watch
Don't believe me just watch
Don't believe me just watch
Don't believe me just watch
Hey, hey, hey, oh!

Before we leave
Let me tell y'all a little something
Uptown funk you up, uptown funk you up
Uptown funk you up, uptown funk you up, uh
I said uptown funk you up, uptown funk you up
Uptown funk you up, uptown funk you up

Come on, dance
Jump on it
If you sexy then flaunt it
If you freaky then own it
Don't brag about it, come show me
Come on, dance
Jump on it
If you sexy then flaunt it
Well it's Saturday night and we in the spot
Don't believe me just watch (come on)

Doh
Doh doh doh, doh doh doh, doh doh (Hah!)

Don't believe me just watch

Don't believe me just watch
Don't believe me just watch
Don't believe me just watch
Don't believe me just watch
Hey, hey, hey, oh!

Uptown funk you up, uptown funk you up (say whaa?!)
Uptown funk you up, uptown funk you up
Uptown funk you up, uptown funk you up (say whaa?!)
Uptown funk you up, uptown funk you up
Uptown funk you up, uptown funk you up (say whaa?!)
Uptown funk you up, uptown funk you up
Uptown funk you up, uptown funk you up (say whaa?!)
Uptown funk you up
Aaaaaaow!",21284336,5157306717,609449,https://i.ytimg.com/vi/OPf0YbXqDm0/default.jpg,14:00:18,19/11/2014
2,9TjrBFYqGNs,Norah Jones - Running,"Listen to “Running” available here:
https://NorahJones.lnk.to/RunningID

Pre-Save Norah's New Album, 'Visions' out March 8th: 
https://NorahJones.lnk.to/VisionsPreSaveID

Connect with Norah: 
http://www.norahjones.com 
https://www.instagram.com/norahjones/ 
https://www.facebook.com/norahjones/ 
https://twitter.com/NorahJones 
https://www.tiktok.com/@norahjonestiktok 

See Norah Jones live: https://NorahJones.lnk.to/TourID
 
Produced & Recorded by Leon Michels
Mixed by Jens Jungkurth
Bass, Electric Guitar, Keyboards, Piano and Vocals : Norah Jones
Baritone Saxophone, Drums & Tambourine: Leon Michels
A&R: Rachel Jones
A&R Admin: Nikki Young
A&R Admin: Steve Cook
Assistant Recording Engineer: Lucas Carpenter
Mastering Engineer: Alex DeTurk
Vinyl Mastering Engineer: Scott Hull
Vinyl Mastering Engineer: Garrett Robinson

Director: Joelle Grace Taylor
Executive Producer & Producer: Jamie Dolan
Executive Producer: Kelly Sarno
Video Commissioner: Colin Wyatt

Production Company: New Yerrk

Label: Blue Note Records / Capitol Music Group
Director Rep: Agency Arts

DP: Jon Gourlay
PD: Ilana Portney
Steadicam Operator: John Kopec
1st AC: Melanie St. Clair
Gaffer: Farhan Kamdar
Key Grip/DMX Operator: John Peters
Casting Director: Zoe Eisenberg
1st AD: Deighton McKoy
PA: Isabella Basha
Shadow Intern: Kaylin Mirel

Stylist: Mindy Saad
Stylist Assts: Selah Romero & Amanda Santos 
Tailor: Tanya Seeman
MUA: Judy Chin 
MUA Asst: Mandy Biseti
Hair Stylist: Mandy Lyons
Hair Stylist Asst: Mallory Pace

Editor: Natalie Hill
Colorist: Loren White

Featured Talent: Nicole Calamaras & Melena Ruiz Michels

Lyrics: 
From the first time I felt the click in my heart
I keep running, oh I keep running away
Try to sleep but the aching tears me apart
I keep running, oh I keep running away
Oh am I wasting the day?
I keep running, oh I keep running away
Oh does it hurt me to stay?
I keep running, oh cus I don't wanna pay
Stars shine but start to fade in the light
Love is blind, could be wrong or it could be right
In a bind telling myself it's for you
For you…
Running and running
Running and running
Running and running hey hey hey hey
For you…
Running and running
Running and running
Running and running hey hey
In the night the devil knocks on my door
I keep running, oh I keep running away
Another life and the same thing happened before
Oh and he begs me to stay
I keep running, oh I keep running away
Oh will he take me away?
I keep running, oh cus I don't wanna pay
Stars shine but start to fade in the light
Love is blind, could be wrong or it could be right
In a bind telling myself it's for you
For you…
running and running
Running and running
Running and running hey hey hey hey
For you…
running and running
Running and running
Running and running hey hey

#NorahJones #Running

Music video by Norah Jones performing Running. Blue Note Records; © 2024 Capitol Records, LLC

http://vevo.ly/tDaWyk",23088,1189188,761,https://i.ytimg.com/vi/9TjrBFYqGNs/default.jpg,14:00:13,18/01/2024
3,FzDfcYDMINc,Edine x pizzaboys - Come & Go | Official Lyric Video,"🎵 Stream or download ""Come & Go"" here: https://li.sten.to/EDINExPIZZABOYS 
📱 Create a viral TikTok: https://vm.tiktok.com/ZGehrVXKS/ 
🔔 Subscribe to my channel: https://bit.ly/SubscribeEdine   

👉 Follow Edine:
Instagram: https://www.instagram.com/edinemusic/ 
TikTok: https://www.tiktok.com/@edine.music 
Spotify: https://open.spotify.com/artist/69liRSrij8eMDTX2fKbICm?si=EGd3l1NZRXuVdMs8FDfvtw 
Apple Music: https://music.apple.com/ro/artist/edine/863085050 

👉 Follow pizzaboys:
Instagram: https://www.instagram.com/wearethepizzaboys/ 
Spotify: https://open.spotify.com/artist/5o2xgKj3RLUXEJyl5g3btl?si=hysvdv9RSU2Kk2ktrq_iAA 

Credits:
Music: IRAIDA (Adelina Stinga), ACHI (Petre Octavian Ioachim), Edine (Diana Serban), Carine (Corina Chiperceanu)
Lyrics: IRAIDA (Adelina Stinga), Edine (Diana Serban), Carine (Corina Chiperceanu)
Production: ACHI (Petre Octavian Ioachim)

00:00 Edine x pizzaboys ""Come & Go""
00:22 Can't wait to see your TikToks ❤️
01:04 Edine x pizzaboys ""Come & Go""

(C) & (P) 2024 Creator Records

All rights reserved. Unauthorized reproduction is a violation of applicable laws. To avoid copyright infringement, please do not upload this video on your channel.

#Edine  #pizzaboys #ComeAndGo  #OfficialVideo

------------------------------------

Lyrics:

You know what they say
About men like you,
Working night and day,
Like you always do.

Do you really wanna play?
Cuz I don't follow rules,
And I ain't got taboos.

You're such a smooth operator,
Straight out Goodfellas,
Your feelings come and go.

The one and only Heartbreaker,
You're on my radar,
Your feelings come and go.

They come and go,
They come and go.

You're such a smooth operator,
Straight out Goodfellas,
Your feelings come and go.

The one and only Heartbreaker,
You're on my radar,
Your feelings come and go.

You're playing with my mind,
And I can't explain,
I'm losing track of time,
Keep driving me insane.

But I wanna play it hard,
Cuz  I'm good at your games,
See if I can be tamed.

You're such a smooth operator,
Straight out Goodfellas,
Your feelings come and go.

The one and only Heartbreaker,
You're on my radar,
Your feelings come and go.

They come and go,
They come and go.

You're such a smooth operator,
Straight out Goodfellas,
Your feelings come and go.

The one and only Heartbreaker,
You're on my radar,
Your feelings come and go.",292,157155,35,https://i.ytimg.com/vi/FzDfcYDMINc/default.jpg,12:00:21,26/01/2024
4,09R8_2nJtjg,Maroon 5 - Sugar (Official Music Video),"Buy Sugar on iTunes: http://smarturl.it/M5V

Sign up for updates: http://smarturl.it/Maroon5.News

Catch Maroon 5 on tour all year long  at www.maroon5.com

Music video by Maroon 5 performing Sugar. (C) 2015 Interscope Records",16020376,4007619985,421635,https://i.ytimg.com/vi/09R8_2nJtjg/default.jpg,15:00:11,14/01/2015
5,hT_nvWreIhg,OneRepublic - Counting Stars,"Stream & Download OneRepublic’s latest album “Human”: https://OneRepublic.lnk.to/Human

Listen to OneRepublic:
Spotify: http://smarturl.it/1RSpotify 
Apple Music: https://apple.co/3B4u43p 

Shop OneRepublic: http://smarturl.it/1RShop
Sign up for email updates: http://smarturl.it/1REmail
Listen to OneRepublic on Spotify: http://smarturl.it/1RSpotify
Catch OneRepublic on tour: https://www.onerepublic.com/tour

Follow OneRepublic:
Facebook: https://www.facebook.com/OneRepublic
Twitter: https://twitter.com/OneRepublic
Instagram: https://www.instagram.com/onerepublic

#OneRepublic #CountingStars

Music video by OneRepublic performing Counting Stars. (C) 2013 Mosley Music/Interscope Records",17688906,3975171554,497001,https://i.ytimg.com/vi/hT_nvWreIhg/default.jpg,07:00:36,31/05/2013
6,G7KNmW9a75Y,Miley Cyrus - Flowers (Official Video),"Official Video for “Flowers” by Miley Cyrus

Listen to & Download “Flowers” out now: https://mileycyrus.lnk.to/Flowers

Pre-Order “Endless Summer Vacation” available March 10th: https://mileycyrus.lnk.to/EndlessSummerVacation

Director: Jacob Bixenman
Producer: Nathan Scherrer, Fabien Colas, Bryan Younce
DP: Marcell Rev
Editor: Brendan Walter
Prod Co: Freenjoy

Connect with Miley
Site: http://mileycyrus.com
Twitter: https://mileyl.ink/twitter
Instagram: https://mileyl.ink/instagram
TikTok: https://mileyl.ink/tiktok
Facebook: https://mileyl.ink/facebook
Discord: https://discord.com/invite/mileycyrus

Lyrics:
We were good, we were gold
Kinda dream that can’t be sold 
We were right til we weren’t
Built a home and watched it burn 
 
I didn’t wanna leave you 
I didn’t wanna lie
Started to cry but then remembered I
 
I can buy myself flowers 
Write my name in the sand 
Talk to myself for hours 
Say things you don’t understand 
I can take myself dancing
And I can hold my own hand
Yeah I can love me better than you can
 
I can love me better
I can love me better baby
Can love me better
I can love me better baby
 
Paint my nails, cherry red 
Match the roses that you left 
No remorse, no regret
I forgive every word you said 
 
I didn’t wanna wanna leave you 
I didn’t wanna fight 
Started to cry but then remembered I 
 
I can buy myself flowers 
Write my name in the sand 
Talk to myself for hours 
Say things you don’t understand 
I can take myself dancing 
And I can hold my own hand 
Yeah I can love me better than you can 
 
I can love me better
I can love me better baby
Can love me better
I can love me better baby
Can love me better
I can love me better baby
Can love me better
I
 
I didn’t wanna wanna leave you 
I didn’t wanna fight 
Started to cry but then remembered I 
 
I can buy myself flowers 
Write my name in the sand 
Talk to myself for hours 
Say things you don’t understand 
I can take myself dancing 
And I can hold my own hand 
Yeah I can love me better than
Yeah I can love me better than you can
 
Can love me better
I can love me better baby
Can love me better
I can love me better baby
Can love me better
I can love me better baby
Can love me better
I

#MileyCyrus #Flowers #EndlessSummerVacation",7712117,715916847,185961,https://i.ytimg.com/vi/G7KNmW9a75Y/default.jpg,00:00:09,13/01/2023
7,wd5-Y4lrhks,juju - Wasted Summers (Official Music Video),"Official music video for Wasted Summers

Production Company: Clark Street Collective
Producer: Noah Furey
Director: Mitch DiNello
DP: Jimmy Kurz
1st AC: Cain Camacho
Post House: Apollo Post House
Post Producer: Alex Peterson
Post Supervisor: Christopher Carson
Editor + VFX: Matthew Vietzke
Colorist: Mike De La Luz

Lyrics:
I'm spending my summertime
Half the time crying again
Had the blues over you
I didn't hang with my friends
You fake cry, that's a lie
Tell me was it all pretend?
In my head, in my head

You're needing all the time again
Our time again
Needing the time again
Our time again
Wasting our time again
Our time again
We don't have nothing to say
So we have nothing left

La-la-la-la, la-la-la
La-la-la-la-la
La-la-la-la, la-la-la
La-la-la-la-la
La-la-la-la, la-la-la
La-la-la-la-la
La-la-la-la, la-la-la
La-la-la-la-la

I wasted like half of my summer tryna hold on your hand
You're the leech, I'm the man
I guess you don't understand
Holding hands, say I can't
You're telling me yes I can
Yes I can, yes I can
I wasted like half of my summer tryna hold on your hand
You're the leech, I'm the man
I guess you don't understand
Holding hands, say I can't
You're telling me yes I can

#juju #WastedSummers

http://vevo.ly/cHsacW",13750,1706652,803,https://i.ytimg.com/vi/wd5-Y4lrhks/default.jpg,18:00:09,26/01/2024
8,CevxZvSJLk8,Katy Perry - Roar,"Katy Perry's new album ""Smile"" out August 28 - http://katy.to/smileID

Listen to Katy’s new song “Smile”: https://katy.to/smileID

Get “Roar” from Katy Perry’s ‘PRISM’: http://katy.to/PRISM

Katy Perry Complete Collection on Spotify: http://katy.to/SpotifyCompleteYD
Katy Perry Essentials on Apple Music: http://katy.to/AMEssentialsYD
Watch your favorite Katy videos on YouTube: http://katy.to/MusicVideosYD

Follow Katy Perry:
Website: http://katy.to/WebsiteYD
Instagram: http://katy.to/InstagramYD
Twitter: http://katy.to/TwitterYD
Facebook: http://katy.to/FacebookYD

Official music video for Katy Perry's ""Roar"" brought to you in Junglescope directed by Grady Hall & Mark Kudsi and produced by Javier Jimenez, Danny Lockwood, Patrick Nugent, Derek Johnson and Oualid Mouaness.

Lyrics:
I used to bite my tongue and hold my breath
Scared to rock the boat and make a mess
So I sit quietly
Agree politely
 
I guess that I forgot I had a choice
I let you push me past the breaking point
I stood for nothing
So I fell for everything
 
(Pre-Chorus)
You held me down but I got up
Already brushing off the dust
You hear my voice, you hear that sound
Like thunder, gonna shake the ground
 
You held me down but I got up
Get ready ’cause I’ve had enough
I see it all, I see it now
 
(Chorus)
I got the eye of the tiger, a fighter
Dancing through the fire
‘Cause I am a champion
And you’re gonna hear me roar
 
Louder, louder than a lion
‘Cause I am a champion
And you’re gonna hear me roar
You’re gonna hear me roar
 
Now I’m floating like a butterfly
Stinging like a bee, I earned my stripes
I went from zero
To my own hero
 
(Pre-Chorus)
You held me down but I got up
Already brushing off the dust
You hear my voice, you hear that sound
Like thunder, gonna shake the ground
 
You held me down but I got up
Get ready ’cause I’ve had enough
I see it all, I see it now
 
(Chorus)
I got the eye of the tiger, a fighter
Dancing through the fire
‘Cause I am a champion
And you’re gonna hear me roar

Music video by Katy Perry performing Roar. (C) 2013 Capitol Records, LLC",16742019,3961400761,777982,https://i.ytimg.com/vi/CevxZvSJLk8/default.jpg,20:00:22,05/09/2013
9,fRh_vgS2dFE,Justin Bieber - Sorry (PURPOSE : The Movement),"‘Purpose’ Available Everywhere Now!
iTunes: http://smarturl.it/PurposeDlx?IQid=VEVO1113 
Stream & Add To Your Spotify Playlist: http://smarturl.it/sPurpose?IQid=VEVO1113 
Google Play: http://smarturl.it/gPurpose?IQid=VEVO1113 
Amazon: http://smarturl.it/aPurpose?IQid=VEVO1113 

Produced by: BLOOD and Skrillex

Director: Parris Goebel
Producer: Justin Bieber, Scott ""Scooter"" Braun and Parris Goebel
Animator: John Hwang 
Production Company: SB Films and Taktix Films
Choreographer: Parris Goebel
Dancers: The Ladies of ReQuest & The Royal Family Dance Crews from The Palace Dance Studio, NZ


Follow Justin:
http://facebook.com/justinbieber
http://twitter.com/justinbieber
http://instagram.com/justinbieber
http://shots.com/justinbieber 
http://fahlo.me/justinbieber
And sign up to Justin’s newsletter: http://justinbiebermusic.com
Snapchat: rickthesizzler
 
Lyrics: Sorry – Justin Bieber
 
You gotta go and get 
Angry at all of my honesty
You know I try but I don't do too well with apologies 
I hope I don't run out of Time could someone call the referee
Cause I just need one more shot at forgiveness 
 
I know you know that I 
made those mistakes maybe once or twice 
And by once or twice I Mean 
Maybe a couple a hundred times 
So let me oh let me 
Redeem oh redeem oh my self tonight 
Cause I just need one more shot at second chances 
 
Yeah
Is it too late now to say sorry 
Cause I’m missing more than just your body 
Is it too late now to say sorry 
Yeah I know that I let you down 
Is it too late to say I'm sorry now 
I’m sorry yeah
Sorry yeah
Sorry
Yeah I know that I let you down
Is it too late to say I’m sorry now
 
I'll take every single piece of the blame 
If you want me too 
But you know that there is no innocent one in this game for two
I'll go I'll go and then 
You go you go out and spill the truth 
Can we both say the words and forget this 
 
Yeah
Is it too late now to say sorry 
Cause I’m missing more than just your body 
Is it too late now to say sorry 
Yeah I know that I let you down 
Is it too late to say I'm sorry now 
 
I'm not just trying to get you back on me
Cause I’m missing more than just your body 
Is it too late now to say sorry 
Yeah I know that I let you down 
Is it too late to say I'm sorry now 
 
I’m sorry (yeah)
Sorry (oh)
Sorry
Yeah I know that I let you down 
Is it too late to say I'm sorry now 
 
I’m sorry (yeah)
Sorry (oh)
Sorry
Yeah I know that I let you down 
Is it too late to say I'm sorry now  

http://vevo.ly/Uf3y0K

©: 2015 Def Jam Recordings, a division of UMG Recordings, Inc.

#JustinBieber #Sorry #Vevo #Pop #Purpose",16434146,3772514255,874067,https://i.ytimg.com/vi/fRh_vgS2dFE/default.jpg,20:00:02,22/10/2015
